x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3
0.1468755,-0.02733886,0.03129064,-0.03183597,0.00588977,0.00437565,0.00185996,-0.05423906,-0.09304544,-0.18641692,-0.01150055,0.01952603
0.1373457,-0.02945002,0.03783749,-0.0277434,0.00791541,0.00439879,-0.00369624,-0.0566601,-0.08725761,-0.1751871,-0.01246484,0.0198165
0.13726372,-0.02947861,0.03804348,-0.02757168,0.00789048,0.00438697,-0.00388309,-0.05685301,-0.08722273,-0.17498213,-0.01248587,0.01986736
0.13726392,-0.029479,0.03805017,-0.02756537,0.00788843,0.00438588,-0.00388866,-0.05686286,-0.08722351,-0.17497694,-0.01248622,0.01987089
0.13726398,-0.029479,0.0380504,-0.02756513,0.00788832,0.00438583,-0.00388882,-0.0568633,-0.08722357,-0.17497678,-0.01248623,0.01987108
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
0.13726398,-0.029479,0.03805041,-0.02756512,0.00788832,0.00438582,-0.00388883,-0.05686333,-0.08722357,-0.17497677,-0.01248623,0.01987109
